region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target
경기도 부천시 소사구,8105,20187580000.0,1442393.0,13995.894322837119,0.3352972471192684,0.054712352842688425,0.022753098687410774,0.10030771395085493,0.03484122415861634,0.2353605533699433,0.21672780987121784,0.2295764710123198,0.020233777273299225,0.08139031002405095,-0.056553616380557004,0.00426371586347235,-5.130509594971494e-05,-0.00018596144284508537,0.006747277689249584,-0.0018663258193744939,-0.019106852595829532,0.010199451401276899,2026,2,20262,,
경기도 부천시 오정구,8104,18544540000.0,1159521.0,15993.276534017064,0.3973099359703719,0.025209576511469146,0.01607373383216839,0.07757000173636014,0.02450964003420953,0.28175840436052874,0.17756870755489218,0.2762853448424675,,,,,,,,,,,2026,1,20261,0.0508074074633289,0.0
경기도 부천시 오정구,8105,19486740000.0,1275191.0,15281.428429152966,0.40494254041466143,0.024070727068765736,0.015832304428549875,0.08338644637327741,0.022034470619508445,0.2661573972865651,0.18357611380867195,0.2767872898283154,0.0508074074633289,0.09975670988278784,-0.04450921006399322,0.007632604444289537,-0.0011388494427034095,-0.00024142940361851495,0.005816444636917273,-0.0024751694147010853,-0.015601007073963613,0.006007406253779768,2026,2,20262,,
경기도 부천시 원미구,8104,49782410000.0,3053139.0,16305.320524221137,0.4366610616079053,0.035873514359790935,0.04498195246071855,0.11099221592526357,0.0353182981699761,0.1672247285738075,0.16894822890253808,0.264057435881755,,,,,,,,,,,2026,1,20261,0.05468939731925393,0.0
경기도 부천시 원미구,8105,52504980000.0,3390999.0,15483.631814695316,0.4383334685586015,0.03824227720875239,0.04373642271647375,0.1170753707553074,0.0324934891890255,0.15702339092406092,0.17309558064777855,0.2648924707110117,0.05468939731925393,0.11065988151865991,-0.05039390107696584,0.0016724069506962036,0.002368762848961453,-0.0012455297442448,0.006083154830043833,-0.0028248089809506036,-0.010201337649746567,0.004147351745240474,2026,2,20262,,
경기도 성남시 분당구,8104,58709730000.0,3451520.0,17009.818862414242,0.3926337252785867,0.04972463678507805,0.0879530530969909,0.1950077099656224,0.04832418748987604,0.07482047694649592,0.15153621043735,0.2332940821654377,,,,,,,,,,,2026,1,20261,0.03636398941027319,0.0
경기도 성남시 분당구,8105,60844650000.0,3799581.0,16013.515700810169,0.391103079728456,0.04515417542873531,0.0847719561210394,0.20617211209202452,0.046816441544162056,0.06915809360395696,0.15682414148162574,0.23626217534204633,0.03636398941027319,0.10084281707769338,-0.05857223816801216,-0.001530645550130716,-0.004570461356342738,-0.0031810969759515084,0.011164402126402129,-0.0015077459457139841,-0.0056623833425389625,0.0052879310442757455,2026,2,20262,,
경기도 성남시 수정구,8104,27356220000.0,1767390.0,15478.315482151647,0.39641587909440706,0.04450687997099014,0.02921931465677641,0.11487625117797708,0.04157884386073807,0.18326435450511802,0.19013847673399323,0.2446439972203576,,,,,,,,,,,2026,1,20261,0.05111159363391571,0.0
경기도 성남시 수정구,8105,28754440000.0,1954568.0,14711.404259150871,0.4116665113283375,0.04301422667247215,0.029098462706976733,0.12389912653489339,0.03753194289299322,0.16007162719913864,0.1947181026651884,0.25246396641052765,0.05111159363391571,0.10590644962345608,-0.049547460373521646,0.015250632233930417,-0.0014926532985179916,-0.00012085194979967809,0.009022875356916316,-0.004046900967744849,-0.023192727305979377,0.00457962593119518,2026,2,20262,,
경기도 성남시 중원구,8104,22990370000.0,1453449.0,15817.803032648548,0.41778057508426353,0.04002849888888261,0.030166978608869712,0.07539417590930464,0.02894385779785188,0.20061921578469594,0.2070666979261317,0.2666996520367869,,,,,,,,,,,2026,1,20261,0.007393530421650363,0.0
경기도 성남시 중원구,8105,23160350000.0,1562842.0,14819.380334032487,0.41668066328876724,0.03881979331055014,0.029717599259078555,0.08326255864008963,0.029023309233236975,0.18806840138426234,0.21442767488401515,0.2651368447227034,0.007393530421650363,0.07526442276268375,-0.06312018783868267,-0.001099911795496289,-0.0012087055783324696,-0.0004493793497911576,0.007868382730784995,7.945143538509378e-05,-0.012550814400433596,0.007360976957883458,2026,2,20262,,
경기도 수원시 권선구,8104,38193830000.0,2190582.0,17435.471486572973,0.3876859168090762,0.031556667660719025,0.019167755629639658,0.08813570149943066,0.03351379005457164,0.24207417794968455,0.19786599039687824,0.2583055300101923,,,,,,,,,,,2026,1,20261,0.05823924963796512,0.0
경기도 수원시 권선구,8105,40418210000.0,2422461.0,16684.772221307176,0.3847117425536658,0.029913002084951314,0.024311566494409326,0.0901017140541355,0.029002273975022645,0.2425515627733143,0.1994081380645011,0.257043281719168,0.05823924963796512,0.10585269120261187,-0.04305586263290384,-0.002974174255410411,-0.0016436655757677103,0.005143810864769668,0.0019660125547048407,-0.004511516079548996,0.0004773848236297451,0.0015421476676228674,2026,2,20262,,
경기도 수원시 영통구,8104,34300610000.0,2157996.0,15894.658748208987,0.39428365851219555,0.0430794087918553,0.047731804186572774,0.19487029530961694,0.052104904256804765,0.09747056976537735,0.17045935917757732,0.23884002210580846,,,,,,,,,,,2026,1,20261,0.04225347595859086,0.0
