quarter,admin,name,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common
20242,11170520,용산2가동,7919755062,285092,1266555051,4697688467,2380938395,351498121,7393103121,5035284091,3503985248,270,16,15,4767052,0.15992351292240004,0.6810785685779697,0.44243606280357967,0.05925925925925926,0.05555555555555555,0.5068319050370098,0.07482363368051753
20243,11170520,용산2가동,7134483819,253863,1224076470,4159469687,2163898908,280793497,6643630881,4580882508,3118877189,275,9,5,4629645,0.1715718335137484,0.6895149038307927,0.43715526842937813,0.03272727272727273,0.01818181818181818,0.5202343257273989,0.06750704251496087
20244,11170520,용산2가동,8328829515,278782,1366775037,5076884179,2550566373,363035872,7900588665,5393628641,3800421642,287,14,2,4759841,0.16410169454645152,0.6826869325439056,0.45629720660694784,0.04878048780487805,0.006968641114982578,0.5023881347441707,0.07150761356771933
20251,11170520,용산2가동,6594803059,220622,1014272599,3913991606,1863085322,307279515,6237217731,4302907393,3164028754,281,12,21,4654921,0.1537987700202527,0.6898760919654674,0.4797760790873073,0.042704626334519574,0.07473309608540925,0.47600646847171596,0.07850796474089321
20252,11170520,용산2가동,8877179980,291941,1334633585,5218056691,2635925269,387476616,8185980915,5456554610,4033455816,284,22,19,4894044,0.15034431970590734,0.6665730920531959,0.45436228904756304,0.07746478873239436,0.06690140845070422,0.5051545862938575,0.07425688123862509
20253,11170520,용산2가동,7592146839,245751,1140769332,4758824726,2272217179,294142750,7027030839,4799823088,3455190670,293,16,7,4668908,0.15025648952678272,0.6830513766014796,0.4551006116281993,0.05460750853242321,0.023890784982935155,0.47747444165902236,0.061809956646005706
20254,11170520,용산2가동,8483363933,272106,1246789178,5634662798,2837747089,393514477,7986661908,5207882784,3714050842,298,11,7,4761506,0.1469687246529684,0.6520725234134952,0.43780402106203026,0.03691275167785235,0.02348993288590604,0.5036232319008063,0.06983815910681937
20211,11170530,남영동,21929921491,1017765,1813511411,15444896457,394965286,113404762,15803192173,8329337607,3934780671,397,13,11,2128470,0.0826957548272237,0.5270667796618207,0.17942520554005753,0.0327455919395466,0.027707808564231738,0.025572543467650907,0.007342539479997758
20212,11170530,남영동,26730198544,1165063,2005558571,18826557191,528804879,94331484,19408642201,10538648257,4856406996,402,16,12,2171374,0.07502969226729436,0.5429874046756868,0.1816824139186985,0.03980099502487562,0.029850746268656716,0.02808824118160033,0.005010554135999703
20213,11170530,남영동,22219282559,1036279,1679054745,15887082419,392246553,88372412,16789434194,9239805959,4537222475,406,27,17,2081324,0.07556745995472715,0.5503345647170175,0.20420202420812106,0.0665024630541872,0.04187192118226601,0.024689653056177048,0.00556253248200638
20214,11170530,남영동,31423550967,1230769,2276399300,21928625410,615383114,117629788,22992086547,13035926369,6587791764,415,25,12,2177910,0.07244245891849083,0.5669744823877642,0.20964504523751268,0.060240963855421686,0.02891566265060241,0.028063004520081317,0.005364211654888222
20221,11170530,남영동,25902896015,1052903,1923258476,18881464557,509054803,99679929,19178913829,10877899212,5568907605,416,21,18,2164338,0.07424878186926544,0.5671801494593388,0.21499169829408746,0.05048076923076923,0.04326923076923077,0.026960557083019077,0.005279247735210523
20222,11170530,남영동,37929156032,1347160,2826421699,25842028521,971570180,94563140,28477272212,16105499958,8470913502,425,25,14,2323616,0.07451844424419593,0.5655562737224995,0.22333514341456148,0.058823529411764705,0.03294117647058824,0.03759651372609829,0.0036592769767727477
20223,11170530,남영동,38156923007,1361255,3170681730,26081259150,1087186011,103474193,28625107286,16655390959,7971610187,426,10,6,2238943,0.08309584421726901,0.5818455383447886,0.20891648379345432,0.023474178403755867,0.014084507042253521,0.04168456763330769,0.00396737720387246
20224,11170530,남영동,42106823658,1380813,3354061965,28764387989,1199082830,90349867,31359463080,17884804014,10080534944,433,21,15,2288380,0.07965601946711437,0.5703160149258525,0.2394038321644993,0.04849884526558892,0.03464203233256351,0.04168636685260086,0.0031410321344070087
20231,11170530,남영동,41256989958,1294724,3367407080,28401857038,1233189098,84910509,30223684684,16595404046,8608892201,436,21,14,2309709,0.08162028018592854,0.5490860634469686,0.20866505796384885,0.0481651376146789,0.03211009174311927,0.04341931220729919,0.002989611168255469
