quarter,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common,group,side,amount_index,amount_yoy,count_index,count_yoy,stores_index,stores_yoy,population_index,population_yoy
20212,30591561239,1257210,5059858286,20460719404,5592841237,382281560,28770400432,20823706837,11964825518,884,85,37,7120673,0.16540045950807447,0.7237892599450491,0.39111523025985695,0.09615384615384616,0.0418552036199095,0.27334528794264285,0.01868368127492454,연남,case,107.80410933285657,,109.5045052009218,,99.21436588103255,,103.222154831355,
20213,24991285457,1067856,4343658474,16895721270,4116625861,335630389,23439978097,16203119040,9706271895,905,57,30,6758536,0.17380692487682148,0.6912599906428146,0.38838626015058764,0.06298342541436464,0.03314917127071823,0.24364901593810442,0.019864815691292472,연남,case,88.06883861619889,,93.01154374037395,,101.5712682379349,,97.97257217474903,
20214,32523096526,1215013,5096636273,21748997939,5472516707,424127783,30569225649,22029658001,13014248685,938,79,46,6847697,0.15670821100707882,0.7206482183731941,0.40015404666637433,0.08422174840085288,0.04904051172707889,0.2516215561907227,0.019501026400828333,연남,case,114.61080480136236,,105.82909567827777,,105.27497194163861,,99.26506103737738,
20221,28101495925,1052650,4517464984,19255620373,4641348939,315715077,26562459032,18756538515,11689513592,952,44,30,6805240,0.16075532050167896,0.7061295978811244,0.41597478024650747,0.046218487394957986,0.031512605042016806,0.24103866035435784,0.016395996123952043,연남,case,99.02916413606854,0.10627028253276993,91.68708282605955,0.00035161744022493835,106.84624017957351,0.13739545997610514,98.64959912420221,-0.0089472667860645
20222,33728565020,1217961,5338008476,22303272617,5579569550,373445895,31486882744,22210119106,13618302668,978,74,49,6886132,0.15826372906273142,0.705376879844743,0.4037616975381184,0.07566462167689161,0.050102249488752554,0.2501681993407165,0.016743995440173746,연남,case,118.85885400385995,0.10254474286198745,106.08587002888929,-0.031219128069296276,109.76430976430976,0.10633484162895934,99.82221954205006,-0.032938038300593164
20223,33103500925,1181248,5311842319,21680656942,4799356139,380565054,30965642606,21876795698,13052803740,995,68,55,6636535,0.16046164818140002,0.7064860877055102,0.3943028191964563,0.06834170854271357,0.05527638190954774,0.22136580786455026,0.017553206760205005,연남,case,116.65613942152875,0.32460176896294013,102.88812351124989,0.10618660193883822,111.672278338945,0.09944751381215466,96.2040306181321,-0.018051394562372702
20224,35384241252,1195253,5132318139,24214329711,5266010500,418990473,32996895547,23483850834,14925371073,1040,88,43,6492286,0.14504530710291574,0.7116987960443174,0.42180842501904386,0.08461538461538462,0.041346153846153845,0.21747496473576863,0.01730340992299541,연남,case,124.69342714446813,0.08797270345130603,104.10797587906346,-0.016263200476044237,116.72278338945006,0.10874200426439229,94.1129793070737,-0.05190226728781955
20231,30749452579,1075813,4819139553,20622646920,4896788172,432737437,28853414234,21288088277,11856588384,1059,60,44,6478086,0.15672277549068234,0.7378013605029368,0.38558697438722295,0.056657223796033995,0.04154863078375826,0.23744712262183268,0.020983603059233292,연남,case,108.3605155635517,0.09422831656603359,93.7046080238936,0.02200446492186381,118.85521885521885,0.11239495798319332,93.90713435413102,-0.04807383721955438
20232,28843872198,1075908,5208499419,18427056950,4518305524,405552193,26610254453,19708132933,11384538446,1085,78,52,6559528,0.18057559620449126,0.7406217391798797,0.39469521872272717,0.07188940092165899,0.047926267281105994,0.24519952026305536,0.022008516829378984,연남,case,101.64528471505298,-0.14482361817360234,93.7128826383129,-0.11663181333392447,121.77328843995511,0.10940695296523528,95.08772763987454,-0.04742923893994477
20233,28255268804,1045737,4974274270,18533502187,4283630337,374639177,26577561289,19485533110,11578420766,1084,67,68,6614952,0.17604767112659037,0.7331573013083308,0.40977917592349655,0.061808118081180814,0.06273062730627306,0.23112902751886136,0.020214159915376603,연남,case,99.57105698457771,-0.14645677905742538,91.08495219994778,-0.11471850111068971,121.66105499438832,0.08944723618090444,95.89116078578266,-0.0032521488999907033
20234,30368889750,1040999,4917356993,20707510362,4615584903,365682881,28238950581,21029721189,12399135992,1084,53,53,6726123,0.16192086814764112,0.7447061861834702,0.408284138606022,0.048892988929889296,0.048892988929889296,0.2228942457259363,0.017659432476781874,연남,case,107.0194190269933,-0.1417396932798869,90.67226669343577,-0.12905552213631755,121.66105499438832,0.04230769230769238,97.50270932547218,0.036017667736757186
20241,30541282001,1040899,4835212607,21430594744,4517839186,325260662,28712763054,20942792959,12184898294,1089,60,55,6526061,0.1583172771477531,0.7293896766261386,0.39896485987723224,0.05509641873278237,0.050505050505050504,0.21081259012957984,0.015177397822384952,연남,case,107.62692620617082,-0.006769895414078575,90.66355657299441,-0.03245359555982308,122.22222222222223,0.028328611898017053,94.60258587648491,0.007405736817942765
20242,28589379186,1047152,4649777532,19703241479,4095603652,347314038,26752633669,18961957395,10873486089,1084,65,72,6448921,0.16264003152180934,0.7087884366679174,0.38033306068865824,0.05996309963099631,0.06642066420664207,0.207864460087197,0.0176272537881735,연남,case,100.74845593682379,-0.0088231222997045,91.20820040419314,-0.026727192287816393,121.66105499438832,-0.0009216589861751334,93.48435491380894,-0.016862036414815207
20243,29026629698,1040939,4772911377,19852734670,4934162934,494843745,26857400650,19115565825,11206479348,1067,58,74,6357891,0.16443215856124227,0.7117429595704378,0.3860758022751829,0.05435801312089972,0.06935332708528585,0.24853819969982,0.024925721983670678,연남,case,102.28931884451357,0.027299718836537812,90.66704062117095,-0.004588151705447907,119.75308641975309,-0.01568265682656822,92.16477279645878,-0.038860599441991384
20244,30802213216,1046375,4491504134,21723448948,5299097225,572873452,28431569782,20489014872,11670951568,1059,39,50,6593739,0.14581757818840493,0.720643110074477,0.37889977210915493,0.036827195467422094,0.047214353163361665,0.24393443406176388,0.026371201615880722,연남,case,108.54644309550022,0.014268663410719418,91.14052276836371,0.005164270090557199,118.85521885521885,-0.023062730627306238,95.5836545191085,-0.019682066474252746
20251,28092722666,987853,4337738476,19684189952,4909014336,499172446,26494425215,19102248510,11473396660,1036,37,57,6695602,0.15440790583284647,0.7209912407982767,0.4084117013651367,0.03571428571428571,0.05501930501930502,0.24938868950008394,0.025359054511119566,연남,case,98.99824732979468,-0.0801721203098098,86.04318608366637,-0.050961716746773744,116.27384960718294,-0.04866850321395777,97.06027314175643,0.02597907068291261
